game,console,past,present,complete,average_completion
Dante's Inferno [Divine Edition],Playstation 3,15,14.99,N,8
Fallout: New Vegas [Ultimate Edition],Playstation 3,15,26.19,N,27
Sifu: Vengeance Edition,Playstation 5,50,41.4,N,8
Catherine: Full Body,Playstation 4,15,31,N,12
Dead Island 2,Playstation 5,20,20.01,Y,15
Persona 5 Tactica,Playstation 5,20,16.99,Y,24
Persona 4 Golden,Playstation Vita,30,24.14,Y,67
Shin Megami Tensei: Persona 3 FES,Playstation 2,30,36,Y,80
Metaphor: ReFantazio [Collector's Edition],Playstation 5,172,188.22,Y,65
Persona 4 Dancing All Night [Crazy Value Pack],JP Playstation Vita,33,43.85,N,9
Persona 4 Arena Ultimax,Playstation 3,15,21.45,N,10
Persona 4 Arena,Playstation 3,15,11.37,N,10
Persona 4,Playstation 2,30,33.56,Y,72
No Man's Sky,Playstation 5,22.5,21.01,N,31
Persona 3 Reload,Playstation 5,70,31,Y,64
Destroy All Humans,Playstation 2,7.95,8.86,N,7
Fat Princess: Fistful of Cake,PSP,10,16.23,N,5
Horizon Forbidden West,Playstation 5,0,19.99,Y,28.5
Battlefield Hardline,Playstation 4,0,4.86,N,7
Mortal Kombat Komplete Edition,Playstation 3,0,10,N,6
Dead Island Riptide,Playstation 3,0,4.53,Y,11
Metal Gear Solid V: Ground Zeroes,Playstation 3,0,8.63,N,2
Resident Evil Revelations 2,Playstation 3,0,13.94,N,28.5
NCAA March Madness 08,Playstation 3,0,11.49,N,5
NBA 2K13,Playstation 3,0,5.23,N,17.5
Call of Duty Advanced Warfare,Playstation 3,0,5.05,Y,6.5
Gran Turismo 2 [Greatest Hits],Playstation,5,11.28,N,15
Far Cry 4,PAL Playstation 4,15,5.38,Y,16.5
Far Cry 3 [Classic Edition],Playstation 4,15,21.16,Y,16.5
SOCOM US Navy Seals Fireteam Bravo 2,PSP,0,6.39,N,10
NFL Street 2 Unleashed,PSP,15,20.63,N,10
Uncharted: Golden Abyss,Playstation Vita,35,26,Y,9
Soul Calibur II,Gamecube,5,21.14,N,10
Zelda: Skyward Sword HD,Nintendo Switch,50,30.76,Y,30
Zelda Twilight Princess,Wii,15,16,Y,37
The Beatles: Rock Band,Wii,5,7.97,Y,3.5
Skate It,Wii,5,6.89,N,8.5
Mario and Sonic at the Olympic Games,Wii,5,9.35,N,8
LEGO Harry Potter Years 5-7,Wii,5,8.08,Y,12
LEGO Harry Potter: Years 1-4,Wii,5,6.69,Y,11
LEGO Indiana Jones The Original Adventures,Wii,5,5.33,Y,9
Wii Play,Wii,5,5.84,N,4
Mario Kart Wii,Wii,55,29.99,N,27
Zelda Link's Awakening,Nintendo Switch,50,36,Y,14
Hyrule Warriors: Age of Calamity,Nintendo Switch,20,44.99,Y,25
Watch Dogs: Legion,Playstation 5,60,5.8,Y,18
Tony Hawk's Pro Skater 1 + 2,Playstation 5,60,24.24,Y,7
Marvel Spiderman: Miles Morales [Launch Edition],Playstation 5,50,15.49,Y,7.5
Persona 5 Royal,Playstation 5,20,26.22,Y,101
Lost Judgment,Playstation 5,15,18.99,Y,24.5
LEGO Star Wars: The Skywalker Saga,Playstation 5,15,14.11,N,18.5
God of War Ragnarok,Playstation 5,75,31.87,Y,26.5
Ghost of Tsushima Director's Cut,Playstation 5,20,40.39,Y,26
Dying Light 2: Stay Human,Playstation 5,50,18.74,Y,24.5
Assassin's Creed Valhalla,Playstation 5,50,12.36,N,61
Uncharted: Legacy of Thieves Collection,Playstation 5,20,21.49,Y,20.5
Stray,Playstation 5,25,19.62,Y,5
Star Wars Jedi: Fallen Order,Playstation 5,20,19.79,Y,17
Session: Skate Sim,Playstation 5,20,25.5,N,6
Riders Republic,Playstation 5,15,10.99,N,17
Hogwarts Legacy,Playstation 5,60,27.47,Y,26.5
Goat Simulator 3,Playstation 5,20,14.99,Y,7
Far Cry 6,Playstation 5,70,11.98,Y,24
Deathloop,Playstation 5,60,8.72,Y,16.5
A Plague Tale: Requiem,Playstation 5,60,23.68,Y,17
L.A. Noire,Playstation 4,15,12.19,Y,22
Dishonored [Definitive Edition],Playstation 4,20,13.08,Y,12
Dishonored: Death of the Outsider,Playstation 4,20,10.38,Y,6.5
Cyberpunk 2077,Playstation 4,20,13.05,Y,25.5
Call of Duty: Black Ops Cold War,Playstation 4,0,15.8,N,5.5
Tiny Tina's Wonderlands [Next Level Edition],Playstation 5,20,15,N,16
Borderlands 3,Playstation 4,20,8.05,N,23.5
Assassin's Creed Odyssey,Playstation 4,20,11.58,N,45.5
Yakuza Kiwami 2 [Playstation Hits],Playstation 4,15,19.69,Y,18.5
Yakuza Kiwami,Playstation 4,20,27.39,Y,18
Uncharted 4 A Thief's End,Playstation 4,0,7.69,Y,15
Witcher 3: Wild Hunt,Playstation 4,20,7.49,N,56.5
Elder Scrolls V: Skyrim Special Edition,Playstation 4,20,12.49,N,26
The Last of Us Part II,Playstation 4,20,17.46,Y,24
Resident Evil 7 Biohazard,Playstation 4,20,10.31,N,9.5
Mirror's Edge Catalyst,Playstation 4,20,6.27,Y,8.5
Minecraft: Playstation 4 Edition,Playstation 4,0,17,N,65
Mafia: Definitive Edition,Playstation 4,20,12.99,Y,10.5
Mafia III,Playstation 4,20,8.64,Y,22.5
Kingdom Hearts All-in-One Package,Playstation 4,40,29.99,N,266
Horizon Zero Dawn,Playstation 4,20,9.84,Y,29.5
Grand Theft Auto V,Playstation 4,50,11.95,Y,32
God of War,Playstation 4,20,11.38,Y,20.5
Far Cry Primal,Playstation 4,20,7.75,Y,15
Far Cry: New Dawn,Playstation 4,20,7.99,Y,11
Far Cry 5,Playstation 4,40,8.47,Y,18
Fallout 76,Playstation 4,60,7.04,N,35
Dishonored 2,Playstation 4,20,7.4,Y,9
Call of Duty Black Ops III,Playstation 4,0,9.57,N,7
Assassin's Creed The Ezio Collection,Playstation 4,20,13.75,N,72
Assassin's Creed: Origins,Playstation 4,20,9.15,N,30
7 Days to Die,Playstation 4,40,14.99,N,52.5
Yakuza 0,Playstation 4,20,32.08,Y,31.5
Watch Dogs 2,Playstation 4,0,7.81,Y,19.5
Watch Dogs,Playstation 4,20,4.5,N,19.5
Rainbow Six Siege,Playstation 4,50,7.48,N,15
The Last of Us Remastered,Playstation 4,20,9.9,Y,14.5
Skater XL,Playstation 4,35,10.23,N,13.5
Shenmue III,Playstation 4,20,10.43,Y,24.5
Shenmue I & II,Playstation 4,20,17.12,Y,42.5
Red Dead Redemption 2,Playstation 4,50,14.94,Y,50.5
Persona 5 Strikers,Playstation 4,20,10.66,Y,35
Uncharted 3: Drake's Deception,Playstation 3,5,3.83,Y,9
Uncharted 2: Among Thieves,Playstation 3,5,3.76,Y,10.5
Tomb Raider,Playstation 3,20,6.24,Y,11.5
Terraria,Playstation 3,0,9.2,N,52
Skate 3,Playstation 3,15,7.58,Y,17.5
Skate 2,Playstation 3,0,11.13,Y,9.5
The Sims 3,Playstation 3,0,6.46,N,25
Red Dead Redemption,Playstation 3,50,7.66,Y,18
Portal 2,Playstation 3,0,7.99,Y,8.5
Payday 2,Playstation 3,0,5.17,N,27
Mortal Kombat,Playstation 3,0,8.68,N,8
Mirror's Edge,Playstation 3,0,8.95,Y,6
Mafia II,Playstation 3,0,8.04,Y,12
Infamous 2,Playstation 3,0,7.6,Y,12.5
Grand Theft Auto IV,Playstation 3,0,7.97,Y,27
Grand Theft Auto V,Playstation 3,0,9,Y,32
God of War III,Playstation 3,0,5.35,Y,10
Far Cry Compilation,Playstation 3,0,13.77,N,37.5
Far Cry 4,Playstation 3,0,10,Y,17.5
Fallout 3,Playstation 3,15,7.81,Y,22
Dead Rising 2,Playstation 3,15,7.04,Y,14.5
Call of Duty World at War,Playstation 3,0,10.75,Y,7
Call of Duty Modern Warfare 3,Playstation 3,0,6.37,N,6
Call of Duty Black Ops II,Playstation 3,0,7.36,Y,7
Call of Duty Black Ops,Playstation 3,0,7.56,Y,7
Assassin's Creed: Brotherhood,Playstation 3,0,3.98,Y,15
Army of Two,Playstation 3,0,7.17,N,6.5
Medal of Honor Frontline,Playstation 2,5,4.65,N,9
Splinter Cell,Playstation 2,5,7.99,N,12.5
SSX,Playstation 2,5,9.48,N,9.5
Minority Report,Playstation 2,5,6.9,N,6.5
Midnight Club 3 DUB Edition,PSP,0,22.01,N,21
